Statistic,Year,Age_Group,Sex,Education_Level,Region,UNIT,Employment_Rate
Annual employment rate,2019,20 - 24 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,20 - 24 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,20 - 24 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2019,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2019,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,36.5
Annual employment rate,2019,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,63.8
Annual employment rate,2019,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,62.4
Annual employment rate,2019,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,65.5
Annual employment rate,2019,20 - 24 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,74.3
Annual employment rate,2019,20 - 24 years,Male,Tertiary education (Levels 5-8),Southern,%,78.9
Annual employment rate,2019,20 - 24 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,82.9
Annual employment rate,2019,20 - 24 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,20 - 24 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,20 - 24 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2019,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2019,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2019,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,59.2
Annual employment rate,2019,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,58.8
Annual employment rate,2019,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,60.3
Annual employment rate,2019,20 - 24 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,77.0
Annual employment rate,2019,20 - 24 years,Female,Tertiary education (Levels 5-8),Southern,%,78.3
Annual employment rate,2019,20 - 24 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,82.7
Annual employment rate,2019,25 - 29 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,25 - 29 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,25 - 29 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2019,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2019,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,64.3
Annual employment rate,2019,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,82.1
Annual employment rate,2019,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,80.4
Annual employment rate,2019,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,81.6
Annual employment rate,2019,25 - 29 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,86.9
Annual employment rate,2019,25 - 29 years,Male,Tertiary education (Levels 5-8),Southern,%,85.4
Annual employment rate,2019,25 - 29 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,90.6
Annual employment rate,2019,25 - 29 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,25 - 29 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,25 - 29 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2019,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2019,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2019,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,68.5
Annual employment rate,2019,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,66.3
Annual employment rate,2019,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,66.3
Annual employment rate,2019,25 - 29 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,77.9
Annual employment rate,2019,25 - 29 years,Female,Tertiary education (Levels 5-8),Southern,%,83.5
Annual employment rate,2019,25 - 29 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,86.3
Annual employment rate,2019,30 - 34 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,30 - 34 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,30 - 34 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2019,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,63.0
Annual employment rate,2019,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,67.5
Annual employment rate,2019,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,88.5
Annual employment rate,2019,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,88.3
Annual employment rate,2019,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,87.2
Annual employment rate,2019,30 - 34 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,94.4
Annual employment rate,2019,30 - 34 years,Male,Tertiary education (Levels 5-8),Southern,%,91.7
Annual employment rate,2019,30 - 34 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,94.3
Annual employment rate,2019,30 - 34 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,30 - 34 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,30 - 34 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2019,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2019,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,35.4
Annual employment rate,2019,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,70.2
Annual employment rate,2019,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,65.1
Annual employment rate,2019,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,64.8
Annual employment rate,2019,30 - 34 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,83.0
Annual employment rate,2019,30 - 34 years,Female,Tertiary education (Levels 5-8),Southern,%,84.3
Annual employment rate,2019,30 - 34 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,83.3
Annual employment rate,2019,35 - 39 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,35 - 39 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,35 - 39 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,68.5
Annual employment rate,2019,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,67.0
Annual employment rate,2019,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,67.8
Annual employment rate,2019,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,87.1
